conId,symbol,secType,expiration,strike,right,exchange,currency,tradingClass,tickType,impliedVol,delta,optPrice,pvDividend,gamma,vega,theta,undPrice
757839395,ES,FOP,20250226,5840.0,C,CME,USD,E4C,10.0,0.2141011445456556,0.9627990139792136,127.25,0.0,0.001131695780714462,0.2706245615951793,-1.2675733404666971,
757839395,ES,FOP,20250226,5840.0,C,CME,USD,E4C,11.0,0.26293155780935057,0.927260215724983,128.0,0.0,0.001571324861789452,0.46145273146914484,-2.017573340466697,
757839395,ES,FOP,20250226,5840.0,C,CME,USD,E4C,12.0,0.35298769734653623,0.8618913608677192,166.25,0.0,0.00186797532954107,0.7364601123838013,-11.332023915598384,
757839395,ES,FOP,20250226,5840.0,C,CME,USD,E4C,13.0,0.2299160313075877,0.9533955505430491,128.7145185885911,0.0,0.0012654790397413408,0.34484035120840417,-1.466747708181174,
757839650,ES,FOP,20250226,5840.0,P,CME,USD,E4C,10.0,0.22892156572274025,-0.04735620494398114,1.5,0.0,0.0012907458861235754,0.3300243479296542,-1.5,
757839650,ES,FOP,20250226,5840.0,P,CME,USD,E4C,11.0,0.23046372439907425,-0.048462068989188145,1.600000023841858,0.0,0.0013060205387886166,0.33617940739205454,-1.600000023841858,
757839650,ES,FOP,20250226,5840.0,P,CME,USD,E4C,12.0,0.22753416799178647,-0.04636615529955702,1.850000023841858,0.0,0.0012767950213425053,0.32447880012477703,-1.850000023841858,
757839650,ES,FOP,20250226,5840.0,P,CME,USD,E4C,13.0,0.2299160313075877,-0.046466013983448365,1.482134502593567,0.0,0.0012654790397413408,0.3448403512089726,-1.482127520396637,
761995798,ES,FOP,20250226,5845.0,C,CME,USD,E4C,10.0,,,122.0,0.0,,,,
761995798,ES,FOP,20250226,5845.0,C,CME,USD,E4C,11.0,0.23071193826442718,0.944164112558689,123.0,0.0,0.0014571058775142973,0.37547385560456664,-2.0168759856869656,
761995798,ES,FOP,20250226,5845.0,C,CME,USD,E4C,12.0,0.23883094507902639,0.9378724325721809,96.25,0.0,0.0015309086111541317,0.4083742854432178,-0.0,
761995798,ES,FOP,20250226,5845.0,C,CME,USD,E4C,13.0,0.2269481299031031,0.9487970999773598,123.8651531418227,0.0,0.0013824687715550713,0.37093497914065665,-1.617288298026324,
